17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17
17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17
17, 17, 19, 19, 19, 16, 16, 16, 17, 16, 16, 16, 19, 19, 19, 17, 17
17, 17, 19, 17, 19, 16, 16, 16, 22, 16, 16, 16, 19, 17, 19, 17, 17
17, 17, 19, 19, 19, 16, 16, 16, 17, 16, 16, 16, 19, 19, 19, 17, 17
17, 17, 16, 16, 16, 16, 16, 16, 17, 16, 16, 16, 16, 16, 16, 17, 17
17, 17, 16, 16, 16, 16, 16, 17, 17, 17, 16, 16, 16, 16, 16, 17, 17
17, 17, 17, 21, 17, 21, 17, 17, 17, 17, 17, 21, 17, 21, 17, 17, 17
17, 17, 16, 16, 16, 16, 16, 17, 17, 17, 16, 16, 16, 16, 16, 17, 17
17, 17, 16, 16, 16, 16, 16, 16, 17, 16, 16, 16, 16, 16, 16, 17, 17
17, 17, 19, 19, 19, 16, 16, 16, 17, 16, 16, 16, 19, 19, 19, 17, 17
17, 17, 19, 17, 19, 16, 16, 16, 22, 16, 16, 16, 19, 17, 19, 17, 17
17, 17, 19, 19, 19, 16, 16, 16, 17, 16, 16, 16, 19, 19, 19, 17, 17
17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17
17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17
