8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 8
8, 9, 11, 3, 3, 8, 8, 8, 8, 8, 8, 8, 3, 3, 3, 9, 8
8, 9, 3, 9, 3, 9, 8, 9, 8, 9, 8, 9, 3, 9, 3, 9, 8
8, 9, 3, 3, 8, 8, 8, 8, 8, 8, 8, 8, 8, 3, 3, 9, 8
8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8
8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8
8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8
8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8
8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8, 9, 8
8, 9, 3, 3, 8, 8, 8, 8, 8, 8, 8, 8, 8, 3, 3, 9, 8
8, 9, 3, 9, 3, 9, 8, 9, 8, 9, 8, 9, 3, 9, 3, 9, 8
8, 9, 3, 3, 3, 8, 8, 8, 8, 8, 8, 8, 3, 3, 3, 9, 8
8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 8
